geom,name,osm_id,uic_ref
0101000020110F0000659DFB5F88372C4135860ADB8FB25641,"Luzern, Kantonalbank",27329497,8589801
0101000020110F0000D569F9720D3A2C41236C7E8249B35641,"Luzern, Schwanenplatz",27329561,8573054
0101000020110F000098550CACAF212D41E5259BE7D9EE5641,Austrasse,27421851,8590741
0101000020110F00009C2C7AF0FD202D415ABE4D8B47EF5641,Neuwiesen,27421912,8590748
0101000020110F0000F5EBCA00BB302E41B5385B6C48095741,Weiningen Dorfplatz,27443731,8506967
0101000020110F00001FF604F7A22D2E41ED1F8151D80A5741,"Hüttwilen, Neumühle",27443751,8573326
0101000020110F000072C2022145122D41EF1F6AA341E45641,Botanischer Garten,27452342,8591094
0101000020110F00009010266C85072D411D3B91668FE55641,Bellevue,27462593,8576193
0101000020110F00009ADFA80378EC2C419DB1E7EFDCE35641,Uetlihof,27488725,8591405
0101000020110F0000BFF6FF2F8D782D418E26376E415E5641,Piotta Centrale,27505197,8505273
0101000020110F000040330FE1599E2D413838725D22D75641,"Oetwil am See, Gusch",27505212,8503165
0101000020110F0000469C42D7500B2D4141680F44FCEB5641,Dorflinde,27513203,8591112
0101000020110F000037ACCC7CFC522A41C481E7BB99E85641,Waldenburg,27528737,8500087
0101000020110F0000ADB821186B4B2B41FA0A0063196F5641,Bus-Bahnhof Bärplatz,27547040,8576510
0101000020110F0000ABF5651FFB182D41617EE9812AE65641,Titlisstrasse,27552396,8591394
0101000020110F00005B019C5746312D4168AA6A8A0EE25641,Waldburg,27580759,8503078
0101000020110F0000CD89E486B8342D41885790305AE25641,Spital Zollikerberg,27580765,8503077
0101000020110F000076CFC6BE5E3A2D41FDBF550B23E25641,Zollikerberg,27580768,8503067
0101000020110F0000CE8DC8146B432D414AB92BBAD8DF5641,Gössikon,27594355,8576224
0101000020110F00009E9FB0D2D0212D417E2ED66199E05641,Beugi,27595784,8576204
0101000020110F000029CEDC41981E2D41F7E5087F50E25641,Bleulerstrasse,27596911,8591089
0101000020110F000081B471C17C7F2D41C5FDDA2E23EC5641,Geeren,27612625,8503350
0101000020110F00001135A3484D2E2E41DF39CC8833065741,"Frauenfeld, neue Kaserne",27678366,8506900
0101000020110F0000F54FEC6D2B1D2E4122B98CAB3A085741,,27788208,8506869
0101000020110F00005CEF08D5452B2E41D8900E2F1F085741,Warth Breite,28095300,8573323
0101000020110F00005A5FBD83B8242E411AC8EBD652085741,Warth Kreuz,28095383,8573300
0101000020110F000092E97FED892C2E414A8AEEAFE1085741,Mehrzweckhalle,28095423,8573325
0101000020110F0000C45F45C564822D412A2FE6B735D65641,Brandrain,28105699,8588429
0101000020110F000033764784E1352C41D88770D15CB25641,"Luzern, Pilatusplatz",28197903,8573022
0101000020110F00002C1AC40813472B41C2791CA6AE835641,Brienz Dorf,28332820,8508375
0101000020110F000000D5AF29C34E2B41F9095C26B8835641,Brienz,28332828,8508376
0101000020110F0000B20154EA623E2B41A9548B87A8805641,Giessbach,28333019,8508378
0101000020110F0000575403DC684E2D419D42C4012A1B5741,"Schaffhausen, Schützenhaus",29016984,8573458
0101000020110F000070EA7CFFCFA32C41314D076A65C15641,Rotkreuz Bahnhof Süd,29033622,8573081
0101000020110F00001C2699F836DD2C418FE73CE727EB5641,Zwielplatz,29038459,8591446
0101000020110F0000439F22D034BF2C416ED2A44F4FEC5641,Zentrum,29038472,8590728
0101000020110F00007FF520C64BBC2C4188CCB7AA80EC5641,Paradies,29038473,8590727
0101000020110F000024EFE1FDBD812D416920C773F3E55641,Nänikon-Greifensee,29138943,8503126
0101000020110F000030B7073F84DB2C4112BB4880D2EA5641,Winzerhalde,29271852,8591434
0101000020110F0000F5D9D75EA1042D419D52AC6437E75641,Bahnhofquai/HB,29271923,8587349
0101000020110F00000A5B6B308EEC2C4117DE03A7BFEC5641,Schumacherweg,29353708,8591346
0101000020110F0000E1BA8B5075E82C41504CA79C2AED5641,Lerchenrain,29367652,8591250
0101000020110F000025C78C7B7DE62C410BD2B8BD64ED5641,Schauenberg,29367654,8591338
0101000020110F0000FFCCE393A5F42C4182E1D24AA0E95641,Wipkingerplatz,29382367,8591437
0101000020110F000050DB91B472042D4149535A5471E75641,Landesmuseum,29383266,8503446
0101000020110F00008B08FAAA74EF2C41F2EF13166AE85641,Zürich Hardbrücke,29542844,8503020
0101000020110F00008BBF97C0B9062D41BA99415D09E75641,Central Polybahn,29542965,8503499
0101000020110F0000A6EFB47D97082D41E37C766616E75641,Polyterrasse ETH,29542967,8503500
0101000020110F00001A28D812FE302D41D782EF45D9EC5641,Wallisellen Bahnhof,29687378,8587655
0101000020110F0000096627BCBE8E2B41A0281387FB055741,"Etzgen, Mühle",29735075,8572442
0101000020110F0000C442E7F607A12B41150425D1C1045741,"Mettau, Linde",29735229,8500556
0101000020110F00002E7035C2A39B2B41AF8006A82E055741,"Mettau, Post",29735453,8500557
0101000020110F0000DAA320CCB0D42C418940014745EB5641,Winzerstrasse Süd,29798189,8591436
0101000020110F000026B9DE7529EF2C41870CAD0A94E95641,Förrlibuckstrasse,29798196,8591135
0101000020110F0000E4E91E00DDEA2C411F7BC695CBE95641,Fischerweg,29798200,8591131
0101000020110F00002934044FA8E72C41B2297B76D2E95641,Bernoulli-Häuser,29798202,8591074
0101000020110F00005C6B3273FBDD2C41C1FA6CC23DEA5641,Hardhof,29798213,8591176
0101000020110F00001107DCA873DB2C41B75E08746AEA5641,Tüffenwies,29798217,8591402
0101000020110F00003F862A752ED72C412FC03F1B0AEA5641,Grünaustrasse,29798224,8591167
0101000020110F00002CAB0B3D2DF22C410C29F81708E45641,Saalsporthalle,29798734,8591329
0101000020110F00001FED05E2C4B72B413378B78F7FFF5641,"Bürersteig, Passhöhe",29835795,8500776
0101000020110F00008D7F9FB98DCF2B41DC60F30F92F85641,Bruggerstrasse,29861500,8500953
0101000020110F000033D0D8E2D1B02B4122CE8113F8F05641,"Veltheim AG, Unterdorf",29862045,8500571
0101000020110F0000C32447B002B12B41289A95C136F05641,"Veltheim AG, Vorerli",29862163,8572469
0101000020110F0000418D1761094D2D4113FF0C9969185741,Neuhausen,29863555,8503423
0101000020110F000043B3564C68432D41910DDB39C2155741,Dachsen,29863575,8506049
0101000020110F0000523C607B0B7A2B417739A38683EB5641,Unterdorf,29863648,8590261
0101000020110F00005F0677200B732B412171BA221CEB5641,Rigistrasse,29863667,8590259
0101000020110F0000DEA999E2E66D2B41F016594CCFEA5641,Quellhölzli,29863680,8590258
0101000020110F0000F67CBBB6F76B2B41C407FED1A2EA5641,Salamatt,29863685,8590260
0101000020110F000039B8AB6C1D812D418587C1A253055741,Henggart,29863930,8506046
0101000020110F0000189E7B3AD4562B41DF4793CE19E95641,Obere Vorstadt,29867041,8590152
0101000020110F0000551BCE9067A12B417B660838AD035741,"Oberhofen AG, Kreuz",29904390,8572446
0101000020110F00006EDE43B9E21028412B9255D354A25641,Motier,29906979,8504574
0101000020110F0000AB32CF8056F12C414B85D057FDE55641,Schmiede Wiedikon,29970251,8591341
0101000020110F00008E1D83FDC2BF2C413526762D28E55641,Katholische Kirche,29971732,8574739
0101000020110F0000C3EB70A1FAC12C41E30CEA8441E45641,"Ringlikon, Langwis",29971747,8573714
0101000020110F00003934D427B3CB2C41B99422619BE25641,Diebis,29971801,8573731
0101000020110F000084E1DA86A9D32C4198B95732F0E05641,Loomatt,29971806,8581059
0101000020110F000097DF7F8C6CD52C41B374306181DA5641,Tägerst,29971832,8573716
0101000020110F0000A9226C34633E2B41AD57EC0737FC5641,"Frick, Unterdorf",29985967,8572397
0101000020110F00000DD120D9A3B32C416E55691A90E65641,Gläseren,30000199,8574615
0101000020110F000068F6612AD5B52C412A87988459E65641,Roracher,30000200,8574658
0101000020110F00008A82906E32B82C4127DBF3BD16E65641,Uitikon Dorf,30000210,8503699
0101000020110F00000BD35FF957D32C41146D17C7B0E65641,Albisrieden,30000239,8591036
0101000020110F00006117C9EFE1D62C41090112D878E95641,Zürich Altstetten,30000518,8503001
0101000020110F00009A3092BF8DC92E4154FE4F575ABE5641,Nieder- und Oberurnen,30035945,8503226
0101000020110F000058DF3AE41CD02E41818656068EBA5641,Näfels-Mollis,30044889,8503227
0101000020110F000064F52EE75691264100247EE4EA8B5641,Grandson,30052334,8504557
0101000020110F000084496DCEEB3F2B41045D871342EA5641,Rebberg,30057887,8578646
0101000020110F00003AE0F61F60312B41C733C19018EC5641,Sagi,30057932,8578651
0101000020110F00005B3B8DEBFB242B416001BD62B8EC5641,Breitmis,30057954,8578653
0101000020110F0000391E76CD1E312B41B34B2AAECBEE5641,Hard,30058048,8578655
0101000020110F0000E2C128F6D7042D41803C8B277AEA5641,Milchbuck,30064408,8591276
0101000020110F0000AFD846BDB4602B4115BDD9E071EA5641,Tellizentrum,30110183,8590156
0101000020110F0000834018339D632B416E974F959CEA5641,Delfterstrasse,30110191,8590138
0101000020110F00001FF605EC89F92C41CAC1A7B887E95641,Zürich Wipkingen,30126390,8503015
0101000020110F000011F6D77D63C82B41F5070A83ABEA5641,"Niederlenz, Hetex",30127417,8578693
0101000020110F00009CEADA5A6B5E2D41BC387282D8D55641,"Meilen, Bahnhof",30147232,8576080
0101000020110F0000C6AABFDCD8802E41248979C5BAF15641,"Wiezikon b. Sirnach, Wies",30152911,8578604
0101000020110F00007AD7449EEEDF2B41C0A3EC9863FC5641,Rüfenach Post,30174058,8500564
0101000020110F0000836195CF139B2C413BE44B2A9FEA5641,Glanzenberg,30228229,8503512
0101000020110F0000E556CF5909FB2C417743FC2206E55641,Zürich Enge,30268706,8503010
0101000020110F00007F6221906BB92B4107540B2E7DF95641,Kirchbözberg‎,30314294,8500554
0101000020110F000052156E189C522B41B9EF829DF8EA5641,Rombacherhof,30314341,8502685
0101000020110F0000225EE956775B2B41DBA3AD4E93EF5641,Grossmatt,30314426,8502682
0101000020110F00007ADE18FE256F2D41B241E49EF7A75641,Stoos (Morschach),30440598,8530393
0101000020110F00002C1602F9CE6D2D4194AC44EBB8A75641,Stoos (Mettlen/Fronalpstock),30440600,8530391
0101000020110F0000E48D12823F682D414D34F9F21DA75641,Mettlen (Stoos),30440602,8531024
0101000020110F00002436DC4ACC672D41F65EFB7822A75641,Mettlen (Fronalpstock),30440604,8530984
0101000020110F0000BD5A95519F572D41CEFA1ACAF1A55641,Fronalpstock,30440606,8530392
0101000020110F000081B7796013462D414EA04DD3CCA75641,Swiss Holiday Park,30499220,8577505
0101000020110F00006293EFE437512D415767371916A95641,"Morschach, Schwyzerhöhe",30499267,8577506
0101000020110F0000CD963127A1F02B41E8CB54F01AD25641,Mosen SGH,30505647,8530631
0101000020110F00008D193E49495B2C41523C22B845BE5641,"Inwil, Pannerhof",30505908,8577168
0101000020110F0000DCAE2E3431412C41D92B80AE3EC35641,Hochdorfstrasse,30512274,8582044
0101000020110F0000D4F787A13E3B2D41740876A338D45641,Zürichsee Fähre Horgen-Meilen,30757497,8530643
0101000020110F0000181172A9E2FE2C41B6224DE74EE65641,Sihlstrasse,30795578,8591369
0101000020110F0000EC45E816B40F2A41FB66C01FCA5A5641,Kandersteg,30851539,8507475
0101000020110F0000DAF1F820E02F2A411C3261B911685641,Ramslauenen,30859200,8530299
0101000020110F0000D04F8C77F63C2A412A02C6B4FC685641,Kiental,30859210,8530298
0101000020110F0000ACBC7E5432F52C4107ABEECDC7025741,Glattfelden,30863780,8503401
0101000020110F0000A6854FBB97882A41D7509E6FA5ED5641,Weinburg,31273905,8578284
0101000020110F000007B3E556AC1D2A418ADBA59F3CFF5641,"Pratteln, Grüssen",31430025,8588855
0101000020110F0000DBD68BAAE2552941989E46E5B8A25641,Läuferplatz,31445304,8590120
0101000020110F00009269D112491B29419E5EA5258BA05641,Technologiepark,31460768,8590084
0101000020110F0000C43C05999867294186CC82D21FA85641,Kappelisacker,31491481,8508076
0101000020110F000091B5D52AC2332A41E63D45CD6F005741,Augst BL,31791763,8500854
0101000020110F000017B1ADC9D7542B41F9B832BF4C015741,"Kaisten, Gemeindehaus",31793813,8500983
0101000020110F0000C7848D36E91029417267FF7A5BA55641,Kappelenring Ost,32452606,8571356
0101000020110F0000A4F9BD91B7792B4130D8D8C316E95641,Heuweg,32701915,8590212
0101000020110F0000E6F6D1ED0F762B411918193B6DE95641,Altersheim,32701928,8590207
0101000020110F000010127230A3732B416DFAE8CC67E95641,Trieschweg,32701933,8590215
